,Conductivity,smiles_list,SMILES_wt_list
8973,1.3005286461119458e-06,"['F[B-](F)(F)F', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.065 0.7   0.235]
8981,6.209215750833855e-05,"['O=Cl(=O)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', 'Blank']",[0.04655364 0.95344636 0.        ]
8991,0.00086,"['O=Cl(=O)([O-])=O', '[Mg]CC(C#N)[Mg]', 'CC1COC(=O)O1']",[0.73125681 0.17930932 0.08943387]
9000,0.00015000000000000001,"['O=S(C(F)(F)F)([O-])=O', '[Mg]CC(N1CCCC1=O)[Mg]', 'CC1COC(=O)O1']",[0.33333333 0.33333333 0.33333333]
9013,1.7e-05,"['O=Cl(=O)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', 'Blank']",[0.08583757 0.91416243 0.        ]
9018,1.5000000000000002e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', 'Blank']",[0.12102674 0.87897326 0.        ]
9020,6.500000000000001e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', 'Blank']",[0.11641761 0.88358239 0.        ]
9022,1.3e-06,"['O=Cl(=O)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.1076213 0.55      0.3423787]
9025,2.4e-06,"['F[B-](F)(F)F', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.09760519 0.55       0.35239481]
9028,1e-06,"['O=S(C(F)(F)F)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.14197885 0.55       0.30802115]
9031,6.7e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.20653034 0.55       0.24346966]
9033,1.8999999999999998e-07,"['F[As-](F)(F)(F)(F)F', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CCO[Mg]']",[0.1649459 0.55      0.2850541]
9036,4e-06,"['O=Cl(=O)([O-])=O', '[Mg]P(OCCOCCOC)(OCCOCCOC)=N[Mg]', '[Mg]CC(N1CCCC1=O)[Mg]']",[0.05799597 0.87       0.07200403]
9039,0.00074,"['O=S([N-]S(=O)(F)=O)(F)=O', 'C[N+](CC)(C)CC', '[Mg]CC1C[N+](C)(C)CC1C[Mg]']",[0.16 0.24 0.16]
9046,0.00075,"['O=S([N-]S(=O)(F)=O)(F)=O', '[Mg]CC1C[N+](C)(C)CC1C[Mg]', 'C[N+](CC)(C)CC']",[0.2 0.2 0.2]
9052,0.0011,"['O=S([N-]S(=O)(F)=O)(F)=O', 'C[N+](CC)(C)CC', '[Mg]CC1C[N+](C)(C)CC1C[Mg]']",[0.24 0.24 0.16]
9059,0.00014,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]OCC[Mg]', '[Mg]=CC(C(C1=O)C2C(N1[Ca])=O)OC2C=[Mg]']",[0.15874366 0.51125634 0.33      ]
9116,0.0014,"['O=S([N-]S(=O)(C(F)(F)[H])=O)(C([H])(F)F)=O', '[Mg]OCC[Mg]', 'Blank']",[0.22179394 0.77820606 0.        ]
9124,0.00095,"['O=S([N-]S(=O)(C(F)([H])[H])=O)(C([H])([H])F)=O', '[Mg]OCC[Mg]', 'Blank']",[0.19625101 0.80374899 0.        ]
9132,3.5e-07,"['[Mg]CC(COCCCSCCCS(=O)([O-])=O)O[Mg]', 'Blank', 'Blank']",[1. 0. 0.]
9137,0.00013,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]OCCCCCC([Mg])=O', 'Blank']",[0.09 0.91 0.  ]
9144,0.00017,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]OCCCCCC([Mg])=O', 'Blank']",[0.17 0.83 0.  ]
9151,0.00046,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]OCCCCCC([Mg])=O', 'Blank']",[0.23 0.77 0.  ]
9158,0.00029,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]OCCCCCC([Mg])=O', 'Blank']",[0.3 0.7 0. ]
9165,4.8e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]CCO[Mg]', '[Mg]CC(CN)[Mg]']",[0.24752475 0.74257426 0.00604238]
9168,5.4e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]CCO[Mg]', '[Mg]CC(CN)[Mg]']",[0.23809524 0.71428571 0.02906097]
9174,1.6e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]CCO[Mg]', '[Mg]CC(CN)[Mg]']",[0.22727273 0.68181818 0.05548003]
9177,9.25271e-06,"['O=Cl(=O)([O-])=O', '[Mg]CCCCO[Mg]', 'Blank']",[0.07385969 0.92614031 0.        ]
9185,0.00021,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC=C(S[Mg])C=C1', 'ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O']",[0.54880441 0.31334836 0.13784723]
9186,0.0003,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC=C(S[Mg])C=C1', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.56232739 0.29642872 0.1412439 ]
9187,1.1e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC=C(N[Mg])C=C1', 'ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O']",[0.5609956  0.32030911 0.11869529]
9188,3.2e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC=C(N[Mg])C=C1', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.57513379 0.30317956 0.12168665]
9189,0.00015,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC(C)=C(O[Mg])C(C)=C1', 'ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O']",[0.54054746 0.30863393 0.15081861]
9190,0.0003,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', '[Mg]C1=CC(C)=C(O[Mg])C(C)=C1', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.55366173 0.29186065 0.15447763]
9191,4.2e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'c1cc(ccc1O)O', 'O=C1C=CC(=O)C=C1']",[0.66369521 0.16970594 0.16659885]
9195,0.000323,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'S1c3c(Sc2c1cccc2)cccc3', 'O=C1C=CC(=O)C=C1']",[0.5703297  0.28650779 0.14316251]
9198,2.8e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'c1ccc2c(c1)Nc3ccccc3O2', 'O=C1C=CC(=O)C=C1']",[0.59649444 0.25377525 0.14973031]
9201,4.7e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'c1cc2cccc3ccc4cccc1c4c32', 'c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N']",[0.51444545 0.24393367 0.24162087]
9204,4.6e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'S1C=CSC1=C2SC=CS2', 'c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N']",[0.51315197 0.24352769 0.24332034]
9208,3.4e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'S1C=CSC1=C2SC=CS2', 'ClC=1C(=O)C(\\Cl)=C(\\Cl)C(=O)C=1Cl']",[0.48886901 0.27912732 0.23200367]
9211,2e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'n1c3c(nc2c1cccc2)cccc3', 'Cl\\C1=C(/O)C(=O)C(\\Cl)=C(\\O)C1=O']",[0.52527244 0.25491263 0.21981494]
9214,6.70774e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'NC1=CC=C(N)C=C1', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.56234281 0.29643684 0.14122035]
9215,1.05609e-05,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'S1C=CSC1=C2SC=CS2', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.49957077 0.26334681 0.23708243]
9216,0.000214788,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'CN1C2=C(C=CC=C2)N(C)C3=CC=CC=C31', 'c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N']",[0.50956095 0.24882145 0.2416176 ]
9217,0.000175809,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'CN1C2=C(C=CC=C2)N(C)C3=CC=CC=C31', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.49616669 0.26155236 0.24228095]
9218,9.78042e-06,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'CN(C)C1=CC=C(N(C)C)C=C1', 'ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O']",[0.52395333 0.27619998 0.19984669]
9219,0.000235225,"['O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O', 'CN(C)C1=CC=C(N(C)C)C=C1', 'ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O']",[0.51219373 0.29244493 0.19536134]
